name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Searcy Police Department,41,Local police department,AR,White,Searcy,13,1,0,72145,5145
CUNY Hostos Community College Police,41,Special jurisdiction,NY,New York,Bronx,3,0,0,10451,36061
Limestone County Sheriff's Office,41,Sheriff's office,AL,Limestone,Athens,64,0,0,35611,1083
Lake Wales Police Department,41,Local police department,FL,Polk,Lake Wales,4,0,4,33853,12105
Wayne Police Department,41,Local police department,MI,Wayne,Wayne,9,6,0,48184,26163
Daviess County Sheriff's Office,40,Sheriff's office,KY,Daviess,Owensboro,34,0,2,42303,21059
Lake Oswego Police Department,40,Local police department,OR,Clackamas,Lake Oswego,30,0,0,97034,41005
Wood County Sheriff's Office,40,Sheriff's office,WV,Wood,Parkersburg,33,0,0,26101,54107
Finney County Sheriff's Office,40,Sheriff's office,KS,Finney,Garden City,60,0,0,67846,20055
Middleboro Police Department,40,Local police department,MA,Plymouth,Middleboro,4,1,0,2346,25023
Libertyville Police Dept,40,Local police department,IL,Lake,Libertyville,15,0,0,60048,17097
Grosse Pointe Woods Department of Public Safety,40,Local police department,MI,Wayne,Grosse Pointe Woods,13,7,0,48236,26163
University of California - San Francisco Police,40,Special jurisdiction,CA,San Francisco,San Francisco,81,2,0,94143,6075
Wallkill Town Police Department,40,Local police department,NY,Orange,Middletown,6,3,1,10941,36071
Isle of Wight County Sheriff's Office,40,Sheriff's office,VA,Isle of Wight,Isle Of Wight,7,1,2,23397,51093
Pasquotank County Sheriff's Office,40,Sheriff's office,NC,Pasquotank,Elizabeth City,4,0,8,27907,37139
Randolph Township Police,40,Local police department,NJ,Morris,Randolph,9,0,4,7869,34027
Reading Police Department,40,Local police department,MA,Middlesex,Reading,12,0,0,1867,25017
Somerset Police Department,40,Local police department,KY,Pulaski,Somerset,3,5,0,42501,21199
Miami Township Police Department,40,Local police department,OH,Montgomery,Miamisburg,14,0,0,45342,39113
Kittitas County Sheriff's Office,40,Sheriff's office,WA,Kittitas,Ellensburg,50,0,0,98926,53037
Forest Park Police Department,40,Local police department,OH,Hamilton,Forest Park,8,1,0,45240,39061
Brownsburg Police,40,Local police department,IN,Hendricks,Brownsburg,8,0,0,46112,18063
Bainbridge Police Department,40,Local police department,GA,Decatur,Bainbridge,10,0,0,31717,13087
Rutherford Police,40,Local police department,NJ,Bergen,Rutherford,6,1,0,7070,34003
Merrimack Police Department,40,Local police department,NH,Hillsborough,Merrimack,20,2,10,3054,33011
El Paso I.S.D. Police Dept.,40,Special jurisdiction,TX,El Paso,El Paso,6,0,0,79925,48141
Fitchburg Police Department,40,Local police department,WI,Dane,Fitchburg,12,5,0,53711,55025
Nevada Department of Wildlife,40,Special jurisdiction,NV,Washoe,Reno,11,0,2,89512,32031
Painesville Police Department,40,Local police department,OH,Lake,Painesville,4,4,6,44077,39085
McDowell County Sheriff's Office,40,Sheriff's office,NC,McDowell,Marion,22,1,1,28752,37111
Versailles Police Department,40,Local police department,KY,Woodford,Versailles,10,2,0,40383,21239
San Juan Police Department,40,Local police department,TX,Hidalgo,San Juan,11,0,3,78589,48215
Smithfield Police Department,40,Local police department,RI,Providence,Smithfield,13,5,0,2917,44007
Mamaroneck Town Police Department,40,Local police department,NY,Westchester,Mamaroneck,1,0,0,10543,36119
Chisago County Sheriff's Office,40,Sheriff's office,MN,Chisago,Center City,55,8,0,55012,27025
Brighton Town Police Department,40,Local police department,NY,Monroe,Rochester,6,2,0,14618,36055
Darke County Sheriff's Office,40,Sheriff's office,OH,Darke,Greenville,27,2,0,45331,39037
Ridgewood Police,40,Local police department,NJ,Bergen,Ridgewood,5,0,0,7450,34003
Hancock County Sheriff's Office,40,Sheriff's office,IN,Hancock,Greenfield,37,0,0,46140,18059
Columbia County Sheriff's Office,40,Sheriff's office,WI,Columbia,Portage,52,0,0,53901,55021
Ashtabula County Sheriff's Office,40,Sheriff's office,OH,Ashtabula,Jefferson,42,0,2,44047,39007
Fremont Police Dept,40,Local police department,NE,Dodge,Fremont,10,9,0,68025,31053
Pittsburg Police Department,40,Local police department,KS,Crawford,Pittsburg,16,2,3,66762,20037
Clark Police,40,Local police department,NJ,Union,Clark,11,40,0,7066,34039
Fraser Dept of Public Safety,40,Local police department,MI,Macomb,Fraser,7,0,0,48026,26099
Jackson Township Police Department,40,Local police department,OH,Stark,Massillon,9,5,9,44646,39151
Alliance Police Department,40,Local police department,OH,Stark,Alliance,13,0,5,44601,39151
Dracut Police Department,40,Local police department,MA,Middlesex,Dracut,5,9,0,1826,25017
Horsham Township Police Department,40,Local police department,PA,Montgomery,Horsham,9,0,0,19044,42091
Crown Point Police,40,Local police department,IN,Lake,Crown Point,13,5,0,46307,18089
Franklin Police,40,Local police department,IN,Johnson,Franklin,16,0,8,46131,18081
Brownstown Police Department,40,Local police department,MI,Wayne,Brownstown,13,0,0,48183,26163
Bellaire Police Department,40,Local police department,TX,Harris,Bellaire,15,0,3,77401,48201
Brandon Police Department,40,Local police department,MS,Rankin,Brandon,17,0,5,39042,28121
Sidney Police Department,40,Local police department,OH,Shelby,Sidney,13,6,0,45365,39149
Benbrook Police Department,40,Local police department,TX,Tarrant,Benbrook,12,1,3,76126,48439
Bonner County Sheriff's Office,40,Sheriff's office,ID,Bonner,Sandpoint,48,3,0,83864,16017
St. Clair County Sheriff's Office,40,Sheriff's office,AL,St. Clair,Ashville,65,0,8,35953,1115
Covington Police Department,40,Local police department,LA,St. Tammany,Covington,12,0,0,70434,22103
Bullitt County Sheriff's Office,40,Sheriff's office,KY,Bullitt,Shepherdsville,5,0,3,40165,21029
East Lampeter Township Police Department,40,Local police department,PA,Lancaster,Lancaster,4,0,0,17602,42071
Churchill County Sheriff's Office,40,Sheriff's office,NV,Churchill,Fallon,9,0,1,89406,32001
Westford Police Department,40,Local police department,MA,Middlesex,Westford,11,0,0,1886,25017
Scott County Sheriff's Office,40,Sheriff's office,KY,Scott,Georgetown,2,0,0,40324,21209
New Lenox Police Dept,40,Local police department,IL,Will,New Lenox,4,1,1,60451,17197
Big Spring Police Department,40,Local police department,TX,Howard,Big Springs,15,2,0,79720,48227
St. Ann Police Dept,40,Local police department,MO,St. Louis,St Ann,13,9,0,63074,29189
Augusta Police Department,40,Local police department,ME,Kennebec,Augusta,15,1,3,4330,23011
Austintown Police Department,40,Local police department,OH,Mahoning,Austintown,9,2,1,44515,39099
University Park Police Department,40,Local police department,TX,Dallas,University Park,14,13,0,75205,48113
South Euclid Police Department,40,Local police department,OH,Cuyahoga,South Euclid,13,2,2,44121,39035
Westmont Police Dept,40,Local police department,IL,Du Page,Westmont,15,1,0,60559,17043
North Andover Police Department,40,Local police department,MA,Essex,North Andover,13,0,12,1845,25009
Susquehanna Township Police Department,40,Local police department,PA,Dauphin,Harrisburg,2,2,0,17110,42043
Bellwood Police Dept,40,Local police department,IL,Cook,Bellwood,3,0,15,60104,17031
White County Sheriff's Office,40,Sheriff's office,GA,White,Cleveland,24,0,2,30528,13311
Webster Parish Sheriff's Office,40,Sheriff's office,LA,Webster,Minden,95,15,7,71058,22119
Blytheville Police Department,40,Local police department,AR,Mississippi,Blytheville,18,1,5,72315,5093
University of North Texas Police Department,40,Special jurisdiction,TX,Denton,Denton,41,34,4,76201,48121
Wharton County Sheriff's Office,40,Sheriff's office,TX,Wharton,Wharton,31,0,6,77488,48481
Gulf Shores Police Department,40,Local police department,AL,Baldwin,Gulf Shores,14,0,1,36542,1003
Alcoa Police Department,40,Local police department,TN,Blount,Alcoa,7,0,0,37701,47009
Miami Springs Police Department,40,Local police department,FL,Miami-Dade,Miami Springs,11,4,0,33166,12086
Lumpkin County Sheriff's Office,40,Sheriff's office,GA,Lumpkin,Dahlonega,31,1,0,30533,13187
Neenah Police Department,40,Local police department,WI,Winnebago,Neenah,9,7,0,54956,55139
Marshall County Sheriff's Office,40,Sheriff's office,AL,Marshall,Guntersville,40,0,1,35976,1095
Tomball Police Department,40,Local police department,TX,Harris,Tomball,14,1,2,77375,48201
Albertville Police Department,40,Local police department,AL,Marshall,Albertville,20,2,0,35950,1095
Jacksonville Police Dept,40,Local police department,IL,Morgan,Jacksonville,11,0,0,62650,17137
Northern Virginia Community College Police Dept.,40,Special jurisdiction,VA,Fairfax,Annandale,1,2,0,22003,51059
Maitland Police Department,40,Local police department,FL,Orange,Maitland,9,0,4,32751,12095
CUNY Baruch College Police,40,Special jurisdiction,NY,New York,New York,33,0,0,10010,36061
Longwood Police Department,40,Local police department,FL,Seminole,Longwood,7,0,0,32750,12117
University of Akron Police Department,40,Special jurisdiction,OH,Summit,Akron,21,4,0,44325,39153
Grants Pass Department of Public Safety,40,Local police department,OR,Josephine,Grants Pass,60,7,0,97526,41033
Edwardsville Police Dept,40,Local police department,IL,Madison,Edwardsville,18,0,0,62025,17119
Albuquerque Aviation Police,40,Special jurisdiction,NM,Bernalillo,Albuquerque,1,0,1,87119,35001
Fountain Police Department,40,Local police department,CO,El Paso,Fountain,12,1,0,80817,8041
McDonough Police Department,40,Local police department,GA,Henry,McDonough,5,0,1,30253,13151
Paso Robles Police Department,40,Local police department,CA,San Luis Obispo,Paso Robles,12,6,4,93446,6079
Warren County Sheriff's Office,40,Sheriff's office,TN,Warren,Mc Minnville,35,1,0,37110,47177
Burleigh County Sheriff's Office,40,Sheriff's office,ND,Burleigh,Bismarck,40,0,0,58502,38015
Sparta Township Police,39,Local police department,NJ,Sussex,Sparta,12,9,0,7871,34037
Jefferson Township Police,39,Local police department,NJ,Morris,Lake Hopatcong,10,4,0,7849,34027
Gladstone Department of Public Safety,39,Local police department,MO,Clay,Gladstone,17,3,0,64118,29047
Towson University Police,39,Special jurisdiction,MD,Baltimore,Baltimore,23,0,0,21252,24005
Palm Springs Public Safety Dept.,39,Local police department,FL,Palm Beach,Palm Springs,12,5,2,33461,12099
Boone County Sheriff's Office,39,Sheriff's office,IL,Boone,Belvidere,40,0,2,61008,17007
Ste. Genevieve County Sheriff's Office,39,Sheriff's office,MO,Ste. Genevieve,Ste. Genevieve,12,2,2,63670,29186
Upper Moreland Township Police Department,39,Local police department,PA,Montgomery,Willow Grove,12,2,0,19090,42091
Derby Police Department,39,Local police department,KS,Sedgwick,Derby,14,1,0,67037,20173
Des Peres Department of Public Safety,39,Local police department,MO,St. Louis,Des Peres,10,2,0,63131,29189
Rye Police Department,39,Local police department,NY,Westchester,Rye,4,13,0,10580,36119
Tullahoma Police Department,39,Local police department,TN,Coffee,Tullahoma,4,5,0,37388,47031
Wichita County Sheriff's Office,39,Sheriff's office,TX,Wichita,Wichita Falls,146,1,0,76307,48485
Miami Township Police Department,39,Local police department,OH,Clermont,Milford,3,1,1,45150,39025
Derry Township Police Department,39,Local police department,PA,Dauphin,Hershey,7,16,0,17033,42043
Munster Police,39,Local police department,IN,Lake,Munster,10,0,0,46321,18089
North Ridgeville Police Department,39,Local police department,OH,Lorain,North Ridgeville,10,5,0,44039,39093
Bowie County Sheriff's Office,39,Sheriff's office,TX,Bowie,Texarkana,6,0,1,75501,48037
Klamath Falls Police Department,39,Local police department,OR,Klamath,Klamath Falls,6,0,0,97601,41035
Florida International University Police,39,Special jurisdiction,FL,Miami-Dade,Miami,19,1,0,33199,12086
Muscogee Creek Nation Tribal Police,39,Local police department,OK,Okmulgee,Okmulgee,9,0,0,74447,40111
Seymour Police,39,Local police department,IN,Jackson,Seymour,16,1,0,47274,18071
Butts County Sheriff's Office,39,Sheriff's office,GA,Butts,Jackson,42,0,0,30233,13035
Wythe County Sheriff's Office,39,Sheriff's office,VA,Wythe,Wytheville,7,5,6,24382,51197
Woodstock Police Dept,39,Local police department,IL,McHenry,Woodstock,12,0,0,60098,17111
Northlake Police Dept,39,Local police department,IL,Cook,Northlake,21,0,3,60164,17031
Auburn Police Department,39,Local police department,MA,Worcester,Auburn,8,0,0,1501,25027
Lewis & Clark County Sheriff's Office,39,Sheriff's office,MT,Lewis and Clark,Helena,30,1,0,59601,30049
Springdale Police Department,39,Local police department,OH,Hamilton,Cincinnati,7,7,6,45246,39061
Shawano County Sheriff's Office,39,Sheriff's office,WI,Shawano,Shawano,70,0,7,54166,55115
North Kansas City Police Department,39,Local police department,MO,Clay,North Kansas City,20,0,0,64116,29047
Osage County Sheriff's Office,39,Sheriff's office,OK,Osage,Pawhuska,31,0,0,74056,40113
Roy Police Department,39,Local police department,UT,Weber,Roy,5,24,0,84067,49057
South Burlington Police Department,39,Local police department,VT,Chittenden,South Burlington,8,2,0,5403,50007
Crow Wing County Sheriff's Office,39,Sheriff's office,MN,Crow Wing,Brainerd,83,0,5,56401,27035
North Castle Town Police Department,39,Local police department,NY,Westchester,Armonk,3,0,0,10504,36119
Hazleton Police Department,39,Local police department,PA,Luzerne,Hazleton,3,1,0,18201,42079
Stokes County Sheriff's Office,39,Sheriff's office,NC,Stokes,Danbury,21,14,9,27016,37169
Garfield County Sheriff's Office,39,Sheriff's office,CO,Garfield,Glenwood Springs,77,2,0,81601,8045
Winona Police Department,39,Local police department,MN,Winona,Winona,5,0,0,55987,27169
Corinth Police Department,39,Local police department,MS,Alcorn,Corinth,13,3,5,38834,28003
Bernards Township Police,39,Local police department,NJ,Somerset,Basking Ridge,16,2,0,7920,34035
Dinwiddie County Sheriff's Office,39,Sheriff's office,VA,Dinwiddie,Dinwiddie,21,0,0,23841,51053
Harrison County Sheriff's Dept,39,Sheriff's office,WV,Harrison,Nutter Fort,4,0,0,26301,54033
Brunswick Police Department,39,Local police department,OH,Medina,Brunswick,13,2,2,44212,39103
Carrboro Police Department,39,Local police department,NC,Orange,Carrboro,3,1,0,27510,37135
Lee County Sheriff's Office,39,Sheriff's office,GA,Lee,Leesburg,37,1,0,31763,13177
Anderson County Sheriff's Office,39,Sheriff's office,TX,Anderson,Palestine,42,8,17,75801,48001
Liberty Police Department,39,Local police department,MO,Clay,Liberty,17,2,5,64068,29047
Monroe Police Department,39,Local police department,CT,Fairfield,Monroe,11,5,5,6468,9001
Inyo County Sheriff's Office,39,Sheriff's office,CA,Inyo,Independence,32,0,2,93526,6027
Blue Island Police Dept,39,Local police department,IL,Cook,Blue Island,30,0,25,60406,17031
Prichard Police Department,39,Local police department,AL,Mobile,Prichard,24,2,0,36610,1097
Bartow Police Department,39,Local police department,FL,Polk,Bartow,27,2,1,33830,12105
Fridley Police Department,39,Local police department,MN,Anoka,Fridley,6,11,0,55432,27003
Alsip Police Dept,39,Local police department,IL,Cook,Alsip,16,0,0,60803,17031
Laurinburg Police Department,39,Local police department,NC,Scotland,Laurinburg,6,1,0,28353,37165
East Moline Police Dept,39,Local police department,IL,Rock Island,East Moline,9,0,0,61244,17161
Albuquerque Public Schools Police Dept.,39,Special jurisdiction,NM,Bernalillo,Albuquerque,88,0,0,87110,35001
Lake City Police Department,39,Local police department,FL,Columbia,Lake City,13,5,12,32055,12023
South Windsor Police Department,39,Local police department,CT,Hartford,South Windsor,13,0,0,6074,9003
Monroe Police Department,39,Local police department,GA,Walton,Monroe,5,0,0,30655,13297
Purdue University Police Department,39,Special jurisdiction,IN,Tippecanoe,West Lafayette,11,30,0,47907,18157
Banning Police Department,39,Local police department,CA,Riverside,Banning,17,0,0,92220,6065
Rusk County Sheriff's Office,39,Sheriff's office,TX,Rusk,Henderson,28,3,2,75652,48401
University of Toledo Police Department,39,Special jurisdiction,OH,Lucas,Toledo,18,4,1,43606,39095
Washoe County School District Police Department,39,Special jurisdiction,NV,Washoe,Reno,4,0,0,89512,32031
Cobb County Board of Education Police,39,Special jurisdiction,GA,Cobb,Marietta,3,0,0,30060,13067
Wyoming Division of Criminal Investigation,39,Special jurisdiction,WY,Laramie,Cheyenne,62,0,0,82002,56021
Lake Mary Police Department,39,Local police department,FL,Seminole,Lake Mary,16,4,1,32746,12117
Grays Harbor County Sheriff's Office,39,Sheriff's office,WA,Grays Harbor,Montesano,39,0,0,98563,53027
Colorado State University Police Department,39,Special jurisdiction,CO,Larimer,Fort Collins,24,0,0,80523,8069
Sebastian Police Department,39,Local police department,FL,Indian River,Sebastian,16,9,1,32958,12061
Alief I.S.D Police Dept.,39,Special jurisdiction,TX,Harris,Alief,5,3,0,77411,48201
Dallas County Constable Pct. 4,39,Constable/marshal,TX,Dallas,Grand Prairie,10,0,0,75050,48113
Muscatine Police Department,39,Local police department,IA,Muscatine,Muscatine,4,0,0,52761,19139
Grant County Sheriff's Office,39,Sheriff's office,NM,Grant,Silver City,13,0,0,88061,35017
Vermont Department of Fish & Wildlife,39,Special jurisdiction,VT,Washington,Waterbury,2,0,22,5671,50023
Forest Park Police Dept,39,Local police department,IL,Cook,Forest Park,14,34,6,60130,17031
Foster City Police Department,39,Local police department,CA,San Mateo,Foster City,17,0,0,94404,6081
Johnson City Village Police Department,39,Local police department,NY,Broome,Johnson City,5,2,0,13790,36007
Moultrie Police Department,39,Local police department,GA,Colquitt,Moultrie,4,0,0,31768,13071
Holly Springs Public Safety,38,Local police department,NC,Wake,Holly Springs,11,2,2,27540,37183
Mississippi Department of Marine Resources,38,Special jurisdiction,MS,Harrison,Biloxi,6,0,0,39530,28047
Weirton Police Department,38,Local police department,WV,Hancock,Weirton,4,11,0,26062,54029
Midland County Sheriff's Office,38,Sheriff's office,MI,Midland,Midland,28,4,1,48640,26111
Dewitt Town Police Department,38,Local police department,NY,Onondaga,East Syracuse,4,0,0,13057,36067
Springfield Police Department,38,Local police department,TN,Robertson,Springfield,13,2,0,37172,47147
Picayune Police Department,38,Local police department,MS,Pearl River,Picayune,20,2,4,39466,28109
Tompkins County Sheriff's Office,38,Sheriff's office,NY,Tompkins,Ithaca,46,0,0,14850,36109
McCracken County Sheriff's Office,38,Sheriff's office,KY,McCracken,Paducah,4,2,0,42003,21145
Saginaw Police Department,38,Local police department,TX,Tarrant,Saginaw,6,4,0,76179,48439
North Royalton Police Department,38,Local police department,OH,Cuyahoga,North Royalton,23,17,0,44133,39035
Delaware Capitol Police Department,38,Special jurisdiction,DE,Kent,Dover,25,0,0,19903,10001
Darien Police Dept.,38,Local police department,IL,Du Page,Darien,19,2,0,60561,17043
Wildwood Police,38,Local police department,NJ,Cape May,Wildwood,8,0,0,8260,34009
Goodhue County Sheriff's Office,38,Sheriff's office,MN,Goodhue,Red Wing,63,0,2,55066,27049
Franklin County Sheriff's Office,38,Sheriff's office,FL,Franklin,Epoint,40,1,2,32328,12037
Amherst County Sheriff's Office,38,Sheriff's office,VA,Amherst,Amherst,33,3,0,24521,51009
Murray County Sheriffs Office,38,Sheriff's office,GA,Murray,Chatsworth,28,1,0,30705,13213
Talladega Police Department,38,Local police department,AL,Talladega,Talladega,14,0,0,35160,1121
Trenton Police Department,38,Local police department,MI,Wayne,Trenton,1,13,0,48183,26163
Long Beach Township Police,38,Local police department,NJ,Ocean,Long Beach Township,14,0,0,8008,34029
Markham Police Dept,38,Local police department,IL,Cook,Markham,6,5,15,60426,17031
Cole County Sheriff's Office,38,Sheriff's office,MO,Cole,Jefferson City,8,3,0,65102,29051
Moorestown Township Police,38,Local police department,NJ,Burlington,Moorestown,10,0,0,8057,34005
Crowley Police Department,38,Local police department,LA,Acadia,Crowley,6,0,0,70526,22001
Pearl River County Sheriff's Office,38,Sheriff's office,MS,Pearl River,Poplarville,81,2,12,39470,28109
Vigo County Sheriff's Office,38,Sheriff's office,IN,Vigo,Terre Haute,62,0,20,47807,18167
Claremore Police Department,38,Local police department,OK,Rogers,Claremore,16,0,0,74017,40131
Saline County Sheriff's Office,38,Sheriff's office,AR,Saline,Benton,43,1,3,72015,5125
Wooster Police Department,38,Local police department,OH,Wayne,Wooster,5,0,0,44691,39169
Wellesley Police Department,38,Local police department,MA,Norfolk,Wellesley,11,0,10,2482,25021
Apache County Sheriff's Office,38,Sheriff's office,AZ,Apache,Saint Johns,44,0,0,85936,4001
Lamar County Sheriff's Office,38,Sheriff's office,MS,Lamar,Purvis,30,1,3,39475,28073
Winchester Police Department,38,Local police department,MA,Middlesex,Winchester,7,25,0,1890,25017
Morehead City Police Department,38,Local police department,NC,Carteret,Morehead City,10,3,0,28557,37031
Hendersonville Police Department,38,Local police department,NC,Henderson,Hendersonville,12,3,3,28792,37089
Haralson County Sheriff's Office,38,Sheriff's office,GA,Haralson,Buchanan,32,4,0,30113,13143
Austin County Sheriff's Office,38,Sheriff's office,TX,Austin,Bellville,19,4,12,77418,48015
Manchester Police Department,38,Local police department,MO,St. Louis,Manchester,2,1,0,63011,29189
Mount Airy Police Department,38,Local police department,NC,Surry,Mount Airy,12,4,0,27030,37171
York County Sheriff's Office,38,Sheriff's office,ME,York,Alfred,88,2,3,4002,23031
Hidalgo Police Department,38,Local police department,TX,Hidalgo,Hidalgo,14,1,0,78557,48215
Mequon Police Department,38,Local police department,WI,Ozaukee,Mequon,8,4,0,53092,55089
Abbeville Police Department,38,Local police department,LA,Vermilion,Abbveille,2,0,0,70510,22113
Boone Police Department,38,Local police department,NC,Watauga,Boone,9,0,0,28607,37189
Southgate Police Department,38,Local police department,MI,Wayne,Southgate,9,14,0,48195,26163
Manlius Town Police Department,38,Local police department,NY,Onondaga,Manlius,8,1,0,13104,36067
Pittsfield Township Dept of Public Safety,38,Local police department,MI,Washtenaw,Ann Arbor,22,27,2,48108,26161
Roanoke Rapids Police Department,38,Local police department,NC,Halifax,Roanoke Rapids,3,0,0,27870,37083
Mariposa County Sheriff's Office,38,Sheriff's office,CA,Mariposa,Mariposa,31,2,5,95338,6043
Elkton Police Department,38,Local police department,MD,Cecil,Elkton,7,5,0,21921,24015
Marshfield Police Department,38,Local police department,WI,Wood,Marshfield,6,0,0,54449,55141
Goodlettsville Police Department,38,Local police department,TN,Davidson,Goodlettsville,14,3,0,37072,47037
Clinton County Sheriff's Office,38,Sheriff's office,OH,Clinton,Wilmington,31,4,9,45177,39027
Fayette County Sheriff's Office,38,Sheriff's office,KY,Fayette,Lexington,41,5,3,40507,21067
Laconia Police Department,38,Local police department,NH,Belknap,Laconia,11,3,2,3246,33001
Norfolk Police Dept,38,Local police department,NE,Madison,Norfolk,20,0,0,68701,31119
Wyandotte Police Department,38,Local police department,MI,Wayne,Wyandotte,11,2,0,48192,26163
Aberdeen Police Department,38,Local police department,SD,Brown,Aberdeen,8,0,0,57402,46013
Westfield Police,38,Local police department,IN,Hamilton,Westfield,4,0,0,46074,18057
Papillion Police Dept,38,Local police department,NE,Sarpy,Papillion,5,0,0,68046,31153
Cass County Sheriff's Office,38,Sheriff's office,MN,Cass,Walker,33,4,5,56484,27021
Luzerne County Sheriff's Office,38,Sheriff's office,PA,Luzerne,Wilkes Barre,6,3,20,18711,42079
Homewood Police Dept,38,Local police department,IL,Cook,Homewood,5,7,14,60430,17031
Williamsburg County Sheriff's Office,38,Sheriff's office,SC,Williamsburg,Kingstree,35,1,0,29556,45089
Sussex County Sheriff's Office,38,Sheriff's office,VA,Sussex,Sussex,3,1,1,23884,51183
Perry Police Department,38,Local police department,GA,Houston,Perry,5,6,0,31069,13153
Bradley Airport Police,38,Special jurisdiction,CT,Hartford,Windsor Locks,0,0,0,6096,9003
Doraville Police Department,38,Local police department,GA,DeKalb,Doraville,26,0,0,30040,13089
Old Brookville Village Police Department,38,Local police department,NY,Nassau,Old Brookville,11,0,0,11545,36059
Lafayette Police Department,38,Local police department,CO,Boulder,Lafayette,12,0,0,80026,8013
New Port Richey Police Department,38,Local police department,FL,Pasco,New Port Richey,12,7,0,34652,12101
Watertown Police Department,38,Local police department,WI,Jefferson,Watertown,15,1,0,53094,55055
Morehouse Parish Sheriff's Office,38,Sheriff's office,LA,Morehouse,Bastrop,119,18,2,71220,22067
Bartholomew County Sheriff's Office,38,Sheriff's office,IN,Bartholomew,Columbus,51,11,0,47201,18005
Willimantic Police Department,38,Local police department,CT,Windham,Willimantic,5,0,0,6226,9015
Deerfield Police Dept,38,Local police department,IL,Lake,Deerfield,15,0,0,60015,17097
Oneida County Sheriff's Office,38,Sheriff's office,WI,Oneida,Rhinelander,49,0,0,54501,55085
Brownwood Police Department,38,Local police department,TX,Brown,Brownwood,20,1,0,76801,48049
Emeryville Police Department,38,Local police department,CA,Alameda,Emeryville,17,0,0,94608,6001
San Diego Community College District,38,Special jurisdiction,CA,San Diego,San Diego,35,7,0,92108,6073
West Melbourne Police Department,38,Local police department,FL,Brevard,West Melbourne,17,6,0,32904,12009
Guilford Police Department,38,Local police department,CT,New Haven,Guilford,7,0,0,6437,9009
Bogalusa Police Department,37,Local police department,LA,Washington,Bogalusa,22,10,0,70427,22117
Riverdale Police Dept,37,Local police department,IL,Cook,Riverdale,9,15,0,60827,17031
Eufaula Police Department,37,Local police department,AL,Barbour,Eufaula,19,7,0,36072,1005
Vestal Town Police Department,37,Local police department,NY,Broome,Vestal,4,0,0,13850,36007
Decatur County Sheriff's Office,37,Sheriff's office,GA,Decatur,Bainbridge,43,0,4,39817,13087
Monroe Police Department,37,Local police department,WA,Snohomish,Monroe,11,1,0,98272,53061
Geneva Police Department,37,Local police department,NY,Ontario,Geneva,5,9,0,14456,36069
Talladega County Sheriff's Office,37,Sheriff's office,AL,Talladega,Talladega,67,0,0,35161,1121
North Dakota Bureau of Criminal Investigation,37,Special jurisdiction,ND,Burleigh,Bismark,30,0,0,58502,38015
Corsicana Police Department,37,Local police department,TX,Navarro,Corsicana,13,6,0,75110,48349
Roselle Police Dept,37,Local police department,IL,Du Page,Roselle,14,2,0,60172,17043
Spring Hill Police Department,37,Local police department,TN,Maury,Spring Hill,10,2,0,37174,47119
Front Royal Police Department,37,Local police department,VA,Warren,Front Royal,10,3,1,22630,51187
Keansburg Police,37,Local police department,NJ,Monmouth,Keansburg,8,7,7,7734,34025
Mansfield Police Department,37,Local police department,MA,Bristol,Mansfield,11,4,20,2048,25005
Medina Police Department,37,Local police department,OH,Medina,Medina,11,4,1,44256,39103
Dunn Police Department,37,Local police department,NC,Harnett,Dunn,15,0,0,28334,37085
Bay County Sheriff's Office,37,Sheriff's office,MI,Bay,Bay City,52,20,0,48708,26017
Woodford County Sheriff's Office,37,Sheriff's office,IL,Woodford,Eureka,3,0,11,61530,17203
Lee County Sheriff's Office,37,Sheriff's office,VA,Lee,Jonesville,2,14,0,24263,51105
Gainesville Police Department,37,Local police department,TX,Cooke,Gainesville,13,0,0,76240,48097
Baker Police Department,37,Local police department,LA,East Baton Rouge,Baker,1,0,0,70714,22033
Claiborne Parish Sheriff's Office,37,Sheriff's office,LA,Claiborne,Homer,60,1,1,71040,22027
Scott County Sheriff's Office,37,Sheriff's office,MN,Scott,Shakopee,100,5,14,55379,27139
Garden City Police Department,37,Local police department,MI,Wayne,Garden City,8,0,0,48135,26163
Newton County Sheriff's Office,37,Sheriff's office,MO,Newton,Neosho,29,8,10,64850,29145
Alice Police Department,37,Local police department,TX,Jim Wells,Alice,14,0,0,78332,48249
Clarksville Police,37,Local police department,IN,Clark,Clarksville,8,9,0,47129,18019
Washington County Sheriff's Office,37,Sheriff's office,MS,Washington,Greenville,26,1,4,38701,28151
Phillipsburg Police,37,Local police department,NJ,Warren,Phillipsburg,2,34,2,8865,34041
Muskogee County Sheriff's Office,37,Sheriff's office,OK,Muskogee,Muskogee,53,3,35,74401,40101
Muskego Police Department,37,Local police department,WI,Waukesha,Muskego,11,0,0,53150,55133
Uvalde Police Department,37,Local police department,TX,Uvalde,Uvalde,10,4,3,78802,48463
West Mifflin Borough Police Department,37,Local police department,PA,Allegheny,West Mifflin,6,2,0,15122,42003
Berkeley Police Department,37,Local police department,MO,St. Louis,Berkeley,12,0,0,63134,29189
Batesville Police Department,37,Local police department,MS,Panola,Batesville,10,0,0,38606,28107
Wisconsin Rapids Police Department,37,Local police department,WI,Wood,Wisconsin Rapids,5,0,0,54495,55141
Tenafly Police,37,Local police department,NJ,Bergen,Tenafly,6,2,0,7670,34003
