name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Broward County Sheriff's Office,1624,Sheriff's office,FL,Broward,Fort Lauderdale,4064,53,0,33312,12011
Cleveland Police Department,1616,Local police department,OH,Cuyahoga,Cleveland,269,0,0,44113,39035
Florida Highway Patrol,1606,Primary state law enforcement agency,FL,Leon,Tallahassee,501,0,0,32399,12073
Indianapolis Police,1582,Local police department,IN,Marion,Indianapolis,258,0,0,46204,18097
Prince George's County Police Department,1578,Local police department,MD,Prince Georges,Landover,262,134,0,20785,24033
Ohio State Highway Patrol,1560,Primary state law enforcement agency,OH,Franklin,Columbus,1098,0,0,43211,39049
Memphis Police Department,1549,Local police department,TN,Shelby,Memphis,738,0,0,38103,47157
Denver Police Department,1525,Local police department,CO,Denver,Denver,235,7,0,80204,8031
Austin Police Department,1515,Local police department,TX,Travis,Austin,635,0,0,78768,48453
Fort Worth Police Department,1489,Local police department,TX,Tarrant,Fort Worth,413,0,42,76102,48439
Palm Beach County Sheriff's Office,1447,Sheriff's office,FL,Palm Beach,West Palm Beach,2079,15,6,33406,12099
Maryland State Police,1440,Primary state law enforcement agency,MD,Baltimore,Pikesville,795,0,0,21208,24005
New Orleans Police Department,1425,Local police department,LA,Orleans,New Orleans,268,0,0,70119,22071
Kansas City Police Department,1421,Local police department,MO,Jackson,Kansas City,648,0,0,64106,29095
Fairfax County Police Department,1419,Local police department,VA,Fairfax,Fairfax,284,83,2,22030,51059
Sacramento County Sheriff's Office,1409,Sheriff's office,CA,Sacramento,Sacramento,485,494,6,95814,6067
Orange County Sheriff's Office,1398,Sheriff's office,FL,Orange,Orlando,688,308,29,32804,12095
San Jose Police Department,1382,Local police department,CA,Santa Clara,San Jose,355,43,0,95110,6085
St. Louis (city) Police Dept,1351,Local police department,MO,St. Louis City,St Louis,507,9,0,63103,29510
San Diego County Sheriff's Office,1322,Sheriff's office,CA,San Diego,San Diego,2622,75,68,92193,6073
Nashville Metro Police Department,1315,Local police department,TN,Davidson,Nashville,317,0,0,37201,47037
Indiana State Police,1315,Primary state law enforcement agency,IN,Marion,Indianapolis,713,0,0,46204,18097
Newark Police,1310,Local police department,NJ,Essex,Newark,481,0,0,7102,34013
Seattle Police Department,1283,Local police department,WA,King,Seattle,516,6,2,98124,53033
Arizona Department of Public Safety,1244,Primary state law enforcement agency,AZ,Maricopa,Phoenix,908,0,0,85005,4013
Connecticut State Police,1227,Primary state law enforcement agency,CT,Middlesex,Middletown,537,45,0,6457,9007
Hillsborough County Sheriff's Office,1223,Sheriff's office,FL,Hillsborough,Tampa,2106,396,64,33601,12057
Louisiana State Police,1215,Primary state law enforcement agency,LA,East Baton Rouge,Baton Rouge,506,18,0,70806,22033
Montgomery County Police Department,1206,Local police department,MD,Montgomery,Rockville,4,0,0,20850,24031
Louisville Metro Police Department,1197,Local police department,KY,Jefferson,Louisville,246,68,0,40202,21111
El Paso Police Department,1132,Local police department,TX,El Paso,El Paso,326,0,0,79903,48141
Washington State Patrol,1132,Primary state law enforcement agency,WA,Thurston,Olympia,1167,64,0,98504,53067
Miami Police Department,1104,Local police department,FL,Miami-Dade,Miami,377,45,0,33128,12086
Cincinnati Police Department,1082,Local police department,OH,Hamilton,Cincinnati,232,0,0,45214,39061
DeKalb County Police Department,1074,Local police department,GA,DeKalb,Tucker,501,0,0,30084,13089
Wayne County Sheriff's Office,1062,Sheriff's office,MI,Wayne,Detroit,233,0,0,48226,26163
Georgia Department of Public Safety,1048,Primary state law enforcement agency,GA,Fulton,Atlanta,544,0,0,30371,13121
Oklahoma City Police Department,1046,Local police department,OK,Oklahoma,Okla. City,264,67,0,73102,40109
Tucson Police Department,1032,Local police department,AZ,Pima,Tucson,378,0,0,85701,4019
Missouri State Highway Patrol,1028,Primary state law enforcement agency,MO,Cole,Jefferson City,1220,110,0,65102,29051
Albuquerque Police Department,1020,Local police department,NM,Bernalillo,Albuquerque,459,0,24,87102,35001
Tampa Police Department,980,Local police department,FL,Hillsborough,Tampa,312,0,0,33602,12057
Long Beach Police Department,968,Local police department,CA,Los Angeles,Long Beach,473,0,0,90802,6037
